Speed,Angle,Torque,Force,,
0.2,-10,30.490388,433.63724,,
0.3,-10,30.191544,425.03862,,
0.4,-10,29.334205,401.3591,,
0.5,-10,28.67942,386.42423,,
0.75,-10,26.146891,308.37503,,
1,-10,22.489047,222.25472,,
1.25,-10,17.411706,125.01047,,
1.5,-10,10.752185,18.972068,,
1.75,-10,2.1591161,-95.468114,,
2,-10,-9.2580935,-226.17498,,
2.25,-10,-23.852619,-374.5477,,
2.5,-10,-41.329071,-534.61625,,
0.2,-5,46.321787,596.33979,,`
0.3,-5,46.373209,596.04437,,
0.4,-5,46.360374,593.33765,,
0.5,-5,46.334084,589.87933,,
0.75,-5,42.69441,505.05344,,
1,-5,39.538706,425.93035,,
1.25,-5,34.969097,334.7823,,
1.5,-5,28.474505,228.43083,,
1.75,-5,20.613937,121.57048,,
2,-5,11.24389,11.771205,,
2.25,-5,-0.35923003,-106.56556,,
2.5,-5,-15.224284,-240.61514,,
0.2,0,67.425314,788.55985,,
0.3,0,66.419341,765.60309,,
0.4,0,66.188361,758.23921,,
0.5,0,65.494884,739.83713,,
0.75,0,63.833435,677.33146,,
1,0,61.652726,623.87519,,
1.25,0,58.222828,546.59392,,
1.5,0,53.141107,457.18477,,
1.75,0,46.190524,357.77262,,
2,0,37.726032,253.87416,,
2.25,0,27.177881,143.18913,,
2.5,0,15.899819,37.348421,,
0.2,10,121.08278,991.65621,,
0.3,10,121.86778,1003.9286,,
0.4,10,121.02557,999.15627,,
0.5,10,119.54254,977.29615,,
0.75,10,119.42767,975.59894,,
1,10,115.21771,916.19192,,
1.25,10,113.21758,871.77135,,
1.5,10,110.7926,818.52542,,
1.75,10,107.38859,755.83017,,
2,10,102.6198,684.44566,,
2.25,10,96.588806,606.88793,,
2.5,10,88.965837,523.14219,,
