Speed,Angle,Torque,Force,,,,,,,,,,,,,,,,,,
0.2,0,134.79793,800.16736,,,,,,,,,,,,,,,,,,
0.5,0,134.66829,798.72851,,,,,,,,,,,,,,,,,,
1,0,131.06885,790.90838,,,,,,,,,,,,,,,,,,
1.5,0,114.90887,700.6448,,,,,,,,,,,,,,,,,,
2,0,97.496647,589.09696,,,,,,,,,,,,,,,,,,
2.5,0,78.930933,458.61528,,,,,,,,,,,,,,,,,,
0.2,10,73.691245,574.03633,,,,,,,,,,,,,,,,,,
0.5,10,70.501534,647.10832,,,,,,,,,,,,,,,,,,
1,10,60.326461,547.15671,,,,,,,,,,,,,,,,,,
1.5,10,47.903636,417.39383,,,,,,,,,,,,,,,,,,
2,10,31.67731,245.1661,,,,,,,,,,,,,,,,,,
2.5,10,9.9197183,41.10683,,,,,,,,,,,,,,,,,,
0.2,15,47.486985,547.42516,,`,,,,,,,,,,,,,,,,
0.5,15,47.411477,546.30036,,,,,,,,,,,,,,,,,,
1,15,36.197959,391.49059,,,,,,,,,,,,,,,,,,
1.5,15,25.334365,238.86855,,,,,,,,,,,,,,,,,,
2,15,8.6230489,39.162878,,,,,,,,,,,,,,,,,,
2.5,15,-15.369784,-204.65997,,,,,,,,,,,,,,,,,,
0.2,20,28.124942,408.23281,,,,,,,,,,,,,,,,,,
0.5,20,26.17333,368.54591,,,,,,,,,,,,,,,,,,
1,20,19.90694,242.18751,,,,,,,,,,,,,,,,,,
1.5,20,8.5706067,56.62646,,,,,,,,,,,,,,,,,,
2,20,-9.7663176,-187.56645,,,,,,,,,,,,,,,,,,
2.5,20,-34.053542,-485.28709,,,,,,,,,,,,,,,,,,
